Invoice_Date,Customer_Code,Customer_Name,Item_Code,Zone,HQ,Brand,Item_Description,QTY,AMOUNT
2022-08-10,306122,Aggarwal Vetcure Solutions Pvt Ltd,10014991,North,Barwala,Premin,Premin L (25Kg),500,23000
2022-08-10,306122,Aggarwal Vetcure Solutions Pvt Ltd,10014991,North,Barwala,Premin,Premin L (25Kg),500,23000
2022-08-10,306122,Aggarwal Vetcure Solutions Pvt Ltd,10014991,North,Barwala,Premin,Premin L (25Kg),500,23000
2022-08-10,306122,Aggarwal Vetcure Solutions Pvt Ltd,10014991,North,Barwala,Premin,Premin L (25Kg),225,10350
2022-08-10,306122,Aggarwal Vetcure Solutions Pvt Ltd,10014991,North,Barwala,Premin,Premin L (25Kg),500,23000
2022-08-10,306122,Aggarwal Vetcure Solutions Pvt Ltd,10014991,North,Barwala,Premin,Premin L (25Kg),500,23000
2022-08-10,306122,Aggarwal Vetcure Solutions Pvt Ltd,10014991,North,Barwala,Premin,Premin L (25Kg),500,23000
2022-08-10,306122,Aggarwal Vetcure Solutions Pvt Ltd,10014991,North,Barwala,Premin,Premin L (25Kg),500,23000
2022-08-10,306002,Japp Poultry,10008978,North,Jind,Kem-O-Cid Gold,KEM-O-CID Gold (25 Kg),325,26000
2022-08-10,306002,Japp Poultry,10011522,North,Jind,Previte Chick Pro,Previte Chick Pro (5L x 2),200,84000
2022-08-10,306002,Japp Poultry,10011436,North,Jind,Previte Chick Pro,Previte Chick Pro (1L x 10),180,81000
2022-08-10,306002,Japp Poultry,10011436,North,Jind,Previte Chick Pro,Previte Chick Pro (1L x 10),70,31500
2022-08-10,306002,Japp Poultry,10008978,North,Jind,Kem-O-Cid Gold,KEM-O-CID Gold (25 Kg),25,2000
2022-08-10,304965,Vinayak Enterprises,10007213,North,Karnal,Xerotox,Xerotox (25 Kg),500,20000
2022-08-10,304965,Vinayak Enterprises,10008638,North,Karnal,Previte,Previte-WPL (5 x 5 Kg),500,60000
2022-08-10,304965,Vinayak Enterprises,10008638,North,Karnal,Previte,Previte-WPL (5 x 5 Kg),500,60000
2022-08-10,304965,Vinayak Enterprises,10015058,North,Karnal,Premin,Premin V (25Kg),125,9375
2022-08-10,304965,Vinayak Enterprises,10015058,North,Karnal,Premin,Premin V (25Kg),175,13125
2022-08-10,304965,Vinayak Enterprises,10011706,North,Karnal,Copper Sulphate P,Copper Sulphate A (5 x 5 kg),300,87000
2022-08-10,304965,Vinayak Enterprises,10007213,North,Karnal,Xerotox,Xerotox (25 Kg),500,20000
2022-08-10,304965,Vinayak Enterprises,10007213,North,Karnal,Xerotox,Xerotox (25 Kg),500,20000
2022-08-10,304965,Vinayak Enterprises,10007213,North,Karnal,Xerotox,Xerotox (25 Kg),150,6000
2022-08-10,305997,Max Agrovet Pvt Ltd,10008978,East,Patna,Kem-O-Cid Gold,KEM-O-CID Gold (25 Kg),200,15000
2022-08-10,305997,Max Agrovet Pvt Ltd,10008978,East,Patna,Kem-O-Cid Gold,KEM-O-CID Gold (25 Kg),675,50625
